Date,Startup,Industry,Location,Investor,Type,Amount,YearMonth
2018-10-09,MamaEarth,Healthcare & Hospitality,Gurgaon,Stellaris Ventures & Others,Other,4000000.0,2018-10
2018-11-09,AutoGrid,Software,Bangalore,"CLP Holdings Group, Innogy, Ørstead, and Tenaska",Other,32000000.0,2018-11
2018-11-09,Pharmeasy,Software,Mumbai,InnoVen Capital,Debt,5500000.0,2018-11
2018-11-09,Upwards,Finance,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Other,5000000.0,2018-11
2018-12-09,Kissht,Finance,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.

",Other,30000000.0,2018-12
2018-01-08,dishq,Consumables,Bangalore,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners ",Seed,400000.0,2018-01
2018-02-08,Samosa Labs,Software,Hyderabad,Xiaomi and Sequoia Capital India,Other,7000000.0,2018-02
2018-03-08,ZiffyHomes,Software,Gurgaon,Y Combinator,Other,120000.0,2018-03
2018-07-08,My OmNamo,Software,Mumbai,Secret,Seed,1000000.0,2018-07
2018-07-08,ShopX,Software,Bangalore,Fung Strategic Holdings,Other,35000000.0,2018-07
2018-07-08,MakeMyTrip,Software,Gurgaon,MakeMyTrip Limited,Other,10000000.0,2018-07
2018-08-08,Hansel io,Software,Bangalore,Vertex Ventures,Seed,4000000.0,2018-08
2018-08-08,Metro Bikes,Software,Bangalore,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Other,12200000.0,2018-08
2018-08-08,Phone Pe,Software,Bangalore,Flipkart,Other,66000000.0,2018-08
2018-09-08,quizizz,Education,Bangalore,"Nexus Venture Partners, Prime Venture Partners and Others",Seed,3000000.0,2018-09
2018-09-08,Happy EMI,Finance,Bangalore,AJ Ventures and Jain International Trade Organisation (JITO),Seed,1000000.0,2018-09
2018-02-07,Biryani By Kilo,Software,Gurgaon,Ajay Relan and Vinay Mittal,Seed,1000000.0,2018-02
2018-04-07,Anchanto,Software,Pune,MDI Ventures & Telkom Indonesia,Other,4000000.0,2018-04
2018-06-07,PolicyBazaar,Software,Gurgaon,Info Edge (India) Ltd and Temasek,Other,27700000.0,2018-06
2018-09-07,zippserv,Software,Bangalore,Info Edge (India) Ltd,Seed,440000.0,2018-09
2018-09-07,Groww,Software,Bangalore,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed,1100000.0,2018-09
2018-10-07,Avenue Growth,Software,Gurgaon,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed,437000.0,2018-10
2018-10-07,Kinara Capital,Finance,Bangalore,ResponsAbility,Other,5000000.0,2018-10
2018-10-07,Shop 101,Software,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma ",Other,5000000.0,2018-10
2018-11-07,Sambandh,Software,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Other,2500000.0,2018-11
2018-12-07,19th mile,Software,Gurgaon,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Seed,180000.0,2018-12
2018-12-07,5th Vital,Healthcare & Hospitality,Bangalore,Brand Capital and Others,Seed,500000.0,2018-12
2018-02-10,Origo Commodities India Pvt. Ltd,Logistics,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund ",Seed,11000000.0,2018-02
2018-04-10,Grover Zampa,Consumables,Mumbai,Ravi Viswanathan,Other,8200000.0,2018-04
2018-05-10,Droom,Automobile,Gurgaon,ZigExN,Series E,3000000.0,2018-05
2018-11-10,Innov8,Real Estate,Delhi,Credence Family Office,Seed,4000000.0,2018-11
2018-12-10,Blackbuck,Logistics,Bangalore,Sequoia Capital India,Other,14680000.0,2018-12
2018-12-10,LetsTransport,Logistics,Bangalore,Fosun International,Series C,12000000.0,2018-12
2018-01-09,Netmeds,Software,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Other,35000000.0,2018-01
2018-03-09,Udaan,Logistics,Bangalore,DST Global and Lightspeed Venture Partners’ global fund.,Other,225000000.0,2018-03
2018-03-09,Daily hunt,Software,Bangalore,Falcon Edge,Other,6390000.0,2018-03
2018-04-09,3HCare,Healthcare & Hospitality,Delhi,Secret,Seed,1000000.0,2018-04
2018-05-09,Nykaa,Software,Mumbai,Lighthouse,Other,157200000.0,2018-05
2018-06-09,Dream11,Software,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Other,100000000.0,2018-06
2018-10-09,MamaEarth,Healthcare & Hospitality,Gurgaon,Stellaris Ventures & Others,Other,4000000.0,2018-10
2018-11-09,AutoGrid,Software,Bangalore,"CLP Holdings Group, Innogy, Ørstead, and Tenaska",Other,32000000.0,2018-11
2018-11-09,Pharmeasy,Software,Mumbai,InnoVen Capital,Debt,5500000.0,2018-11
2018-11-09,Upwards,Finance,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Other,5000000.0,2018-11
2018-12-09,Kissht,Finance,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.

",Other,30000000.0,2018-12
2018-01-08,dishq,Consumables,Bangalore,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners ",Seed,400000.0,2018-01
2018-02-08,Samosa Labs,Software,Hyderabad,Xiaomi and Sequoia Capital India,Other,7000000.0,2018-02
2018-03-08,ZiffyHomes,Software,Gurgaon,Y Combinator,Other,120000.0,2018-03
2018-07-08,My OmNamo,Software,Mumbai,Secret,Seed,1000000.0,2018-07
2018-07-08,ShopX,Software,Bangalore,Fung Strategic Holdings,Other,35000000.0,2018-07
2018-07-08,MakeMyTrip,Software,Gurgaon,MakeMyTrip Limited,Other,10000000.0,2018-07
2018-08-08,Hansel io,Software,Bangalore,Vertex Ventures,Seed,4000000.0,2018-08
2018-08-08,Metro Bikes,Software,Bangalore,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Other,12200000.0,2018-08
2018-08-08,Phone Pe,Software,Bangalore,Flipkart,Other,66000000.0,2018-08
2018-09-08,quizizz,Education,Bangalore,"Nexus Venture Partners, Prime Venture Partners and Others",Seed,3000000.0,2018-09
2018-09-08,Happy EMI,Finance,Bangalore,AJ Ventures and Jain International Trade Organisation (JITO),Seed,1000000.0,2018-09
2018-02-07,Biryani By Kilo,Software,Gurgaon,Ajay Relan and Vinay Mittal,Seed,1000000.0,2018-02
2018-04-07,Anchanto,Software,Pune,MDI Ventures & Telkom Indonesia,Other,4000000.0,2018-04
2018-06-07,PolicyBazaar,Software,Gurgaon,Info Edge (India) Ltd and Temasek,Other,27700000.0,2018-06
2018-09-07,zippserv,Software,Bangalore,Info Edge (India) Ltd,Seed,440000.0,2018-09
2018-09-07,Groww,Software,Bangalore,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed,1100000.0,2018-09
2018-10-07,Avenue Growth,Software,Gurgaon,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed,437000.0,2018-10
2018-10-07,Kinara Capital,Finance,Bangalore,ResponsAbility,Other,5000000.0,2018-10
2018-10-07,Shop 101,Software,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma ",Other,5000000.0,2018-10
2018-11-07,Sambandh,Software,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Other,2500000.0,2018-11
2018-12-07,19th mile,Software,Gurgaon,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Seed,180000.0,2018-12
2018-12-07,5th Vital,Healthcare & Hospitality,Bangalore,Brand Capital and Others,Seed,500000.0,2018-12
2018-02-10,Origo Commodities India Pvt. Ltd,Logistics,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund ",Seed,11000000.0,2018-02
2018-04-10,Grover Zampa,Consumables,Mumbai,Ravi Viswanathan,Other,8200000.0,2018-04
2018-05-10,Droom,Automobile,Gurgaon,ZigExN,Series E,3000000.0,2018-05
2018-11-10,Innov8,Real Estate,Delhi,Credence Family Office,Seed,4000000.0,2018-11
2018-12-10,Blackbuck,Logistics,Bangalore,Sequoia Capital India,Other,14680000.0,2018-12
2018-12-10,LetsTransport,Logistics,Bangalore,Fosun International,Series C,12000000.0,2018-12
2018-01-09,Netmeds,Software,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Other,35000000.0,2018-01
2018-03-09,Udaan,Logistics,Bangalore,DST Global and Lightspeed Venture Partners’ global fund.,Other,225000000.0,2018-03
2018-03-09,Daily hunt,Software,Bangalore,Falcon Edge,Other,6390000.0,2018-03
2018-04-09,3HCare,Healthcare & Hospitality,Delhi,Secret,Seed,1000000.0,2018-04
2018-05-09,Nykaa,Software,Mumbai,Lighthouse,Other,157200000.0,2018-05
2018-06-09,Dream11,Software,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Other,100000000.0,2018-06
2018-10-09,MamaEarth,Healthcare & Hospitality,Gurgaon,Stellaris Ventures & Others,Other,4000000.0,2018-10
2018-11-09,AutoGrid,Software,Bangalore,"CLP Holdings Group, Innogy, Ørstead, and Tenaska",Other,32000000.0,2018-11
2018-11-09,Pharmeasy,Software,Mumbai,InnoVen Capital,Debt,5500000.0,2018-11
2018-11-09,Upwards,Finance,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Other,5000000.0,2018-11
2018-12-09,Kissht,Finance,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.

",Other,30000000.0,2018-12
2018-01-08,dishq,Consumables,Bangalore,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners ",Seed,400000.0,2018-01
2018-02-08,Samosa Labs,Software,Hyderabad,Xiaomi and Sequoia Capital India,Other,7000000.0,2018-02
2018-03-08,ZiffyHomes,Software,Gurgaon,Y Combinator,Other,120000.0,2018-03
2018-07-08,My OmNamo,Software,Mumbai,Secret,Seed,1000000.0,2018-07
2018-07-08,ShopX,Software,Bangalore,Fung Strategic Holdings,Other,35000000.0,2018-07
2018-07-08,MakeMyTrip,Software,Gurgaon,MakeMyTrip Limited,Other,10000000.0,2018-07
2018-08-08,Hansel io,Software,Bangalore,Vertex Ventures,Seed,4000000.0,2018-08
2018-08-08,Metro Bikes,Software,Bangalore,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Other,12200000.0,2018-08
2018-08-08,Phone Pe,Software,Bangalore,Flipkart,Other,66000000.0,2018-08
2018-09-08,quizizz,Education,Bangalore,"Nexus Venture Partners, Prime Venture Partners and Others",Seed,3000000.0,2018-09
2018-09-08,Happy EMI,Finance,Bangalore,AJ Ventures and Jain International Trade Organisation (JITO),Seed,1000000.0,2018-09
2018-02-07,Biryani By Kilo,Software,Gurgaon,Ajay Relan and Vinay Mittal,Seed,1000000.0,2018-02
2018-04-07,Anchanto,Software,Pune,MDI Ventures & Telkom Indonesia,Other,4000000.0,2018-04
2018-06-07,PolicyBazaar,Software,Gurgaon,Info Edge (India) Ltd and Temasek,Other,27700000.0,2018-06
2018-09-07,zippserv,Software,Bangalore,Info Edge (India) Ltd,Seed,440000.0,2018-09
2018-09-07,Groww,Software,Bangalore,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed,1100000.0,2018-09
2018-10-07,Avenue Growth,Software,Gurgaon,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed,437000.0,2018-10
2018-10-07,Kinara Capital,Finance,Bangalore,ResponsAbility,Other,5000000.0,2018-10
2018-10-07,Shop 101,Software,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma ",Other,5000000.0,2018-10
2018-11-07,Sambandh,Software,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Other,2500000.0,2018-11
2018-12-07,19th mile,Software,Gurgaon,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Seed,180000.0,2018-12
2018-12-07,5th Vital,Healthcare & Hospitality,Bangalore,Brand Capital and Others,Seed,500000.0,2018-12
2018-02-10,Origo Commodities India Pvt. Ltd,Logistics,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund ",Seed,11000000.0,2018-02
2018-04-10,Grover Zampa,Consumables,Mumbai,Ravi Viswanathan,Other,8200000.0,2018-04
2018-05-10,Droom,Automobile,Gurgaon,ZigExN,Series E,3000000.0,2018-05
2018-11-10,Innov8,Real Estate,Delhi,Credence Family Office,Seed,4000000.0,2018-11
2018-12-10,Blackbuck,Logistics,Bangalore,Sequoia Capital India,Other,14680000.0,2018-12
2018-12-10,LetsTransport,Logistics,Bangalore,Fosun International,Series C,12000000.0,2018-12
2018-01-09,Netmeds,Software,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Other,35000000.0,2018-01
2018-03-09,Udaan,Logistics,Bangalore,DST Global and Lightspeed Venture Partners’ global fund.,Other,225000000.0,2018-03
2018-03-09,Daily hunt,Software,Bangalore,Falcon Edge,Other,6390000.0,2018-03
2018-04-09,3HCare,Healthcare & Hospitality,Delhi,Secret,Seed,1000000.0,2018-04
2018-05-09,Nykaa,Software,Mumbai,Lighthouse,Other,157200000.0,2018-05
2018-06-09,Dream11,Software,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Other,100000000.0,2018-06
2018-10-09,MamaEarth,Healthcare & Hospitality,Gurgaon,Stellaris Ventures & Others,Other,4000000.0,2018-10
2018-11-09,AutoGrid,Software,Bangalore,"CLP Holdings Group, Innogy, Ørstead, and Tenaska",Other,32000000.0,2018-11
2018-11-09,Pharmeasy,Software,Mumbai,InnoVen Capital,Debt,5500000.0,2018-11
2018-11-09,Upwards,Finance,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Other,5000000.0,2018-11
2018-12-09,Kissht,Finance,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.

",Other,30000000.0,2018-12
2018-01-08,dishq,Consumables,Bangalore,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners ",Seed,400000.0,2018-01
2018-02-08,Samosa Labs,Software,Hyderabad,Xiaomi and Sequoia Capital India,Other,7000000.0,2018-02
2018-03-08,ZiffyHomes,Software,Gurgaon,Y Combinator,Other,120000.0,2018-03
2018-07-08,My OmNamo,Software,Mumbai,Secret,Seed,1000000.0,2018-07
2018-07-08,ShopX,Software,Bangalore,Fung Strategic Holdings,Other,35000000.0,2018-07
2018-07-08,MakeMyTrip,Software,Gurgaon,MakeMyTrip Limited,Other,10000000.0,2018-07
2018-08-08,Hansel io,Software,Bangalore,Vertex Ventures,Seed,4000000.0,2018-08
2018-08-08,Metro Bikes,Software,Bangalore,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Other,12200000.0,2018-08
2018-08-08,Phone Pe,Software,Bangalore,Flipkart,Other,66000000.0,2018-08
2018-09-08,quizizz,Education,Bangalore,"Nexus Venture Partners, Prime Venture Partners and Others",Seed,3000000.0,2018-09
2018-09-08,Happy EMI,Finance,Bangalore,AJ Ventures and Jain International Trade Organisation (JITO),Seed,1000000.0,2018-09
2018-02-07,Biryani By Kilo,Software,Gurgaon,Ajay Relan and Vinay Mittal,Seed,1000000.0,2018-02
2018-04-07,Anchanto,Software,Pune,MDI Ventures & Telkom Indonesia,Other,4000000.0,2018-04
2018-06-07,PolicyBazaar,Software,Gurgaon,Info Edge (India) Ltd and Temasek,Other,27700000.0,2018-06
2018-09-07,zippserv,Software,Bangalore,Info Edge (India) Ltd,Seed,440000.0,2018-09
2018-09-07,Groww,Software,Bangalore,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed,1100000.0,2018-09
2018-10-07,Avenue Growth,Software,Gurgaon,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed,437000.0,2018-10
2018-10-07,Kinara Capital,Finance,Bangalore,ResponsAbility,Other,5000000.0,2018-10
2018-10-07,Shop 101,Software,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma ",Other,5000000.0,2018-10
2018-11-07,Sambandh,Software,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Other,2500000.0,2018-11
2018-12-07,19th mile,Software,Gurgaon,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Seed,180000.0,2018-12
2018-12-07,5th Vital,Healthcare & Hospitality,Bangalore,Brand Capital and Others,Seed,500000.0,2018-12
